,client_id,birth_number,district_id,gender
88,94,1947-09-09,43,M
89,95,1952-08-03,43,F
90,96,1972-02-29,74,M
91,97,1965-11-28,26,M
92,98,1973-05-04,33,F
93,99,1973-01-26,33,M
94,100,1942-08-11,44,F
95,101,1943-01-23,68,M
96,102,1958-09-10,74,F
97,103,1955-07-11,74,M
98,105,1980-05-26,31,M
99,106,1968-12-30,68,F
100,107,1972-06-23,1,M
101,108,1963-09-13,17,M
102,110,1967-04-13,2,F
103,112,1935-01-25,1,M
104,113,1940-08-15,1,F
105,114,1969-06-24,74,F
106,115,1969-12-24,74,M
107,116,1942-01-28,74,M
108,117,1936-09-20,74,F
109,118,1922-07-19,55,M
110,119,1922-02-28,55,F
111,120,1976-05-10,1,M
112,121,1978-10-29,41,F
113,122,1963-11-13,35,F
114,123,1969-02-12,11,M
115,124,1967-09-21,44,M
116,125,1936-10-31,37,M
117,126,1929-09-27,37,F
118,127,1950-12-27,21,F
119,128,1973-04-04,63,F
120,129,1947-05-31,64,F
121,130,1942-02-14,53,M
122,131,1977-01-31,53,F
123,132,1953-01-26,36,M
124,134,1932-01-18,6,M
125,135,1938-09-10,6,F
126,136,1921-01-26,55,F
127,137,1923-09-14,60,M
128,138,1972-10-21,54,F
129,139,1959-07-25,8,F
130,140,1961-06-06,8,M
131,141,1925-11-02,31,M
132,142,1937-06-21,68,M
133,143,1978-07-09,27,M
134,144,1958-12-06,65,M
135,145,1978-02-14,55,M
136,146,1961-12-19,31,F
137,147,1933-11-02,21,F
138,148,1940-12-25,21,M
139,149,1948-06-27,55,M
140,150,1980-09-27,2,F
141,151,1971-09-23,51,F
142,152,1945-12-02,29,F
143,153,1981-02-12,13,F
144,154,1933-08-27,74,M
145,155,1939-03-13,74,F
146,156,1930-07-22,54,F
147,157,1943-07-09,52,F
148,158,1945-07-03,40,F
149,159,1938-09-10,40,M
150,160,1942-04-26,64,F
151,161,1943-10-07,34,F
152,162,1941-10-17,65,M
153,163,1933-06-12,74,M
154,164,1962-04-04,70,F
155,165,1968-11-08,22,M
156,166,1961-10-22,22,F
157,167,1978-04-18,38,F
158,168,1976-11-05,24,F
159,169,1953-09-12,38,M
160,170,1946-06-16,38,F
161,171,1929-06-25,51,M
162,172,1935-10-05,51,F
163,173,1918-12-08,21,F
164,174,1978-11-10,10,M
165,175,1960-07-13,31,M
166,176,1929-03-11,4,M
167,178,1960-12-22,8,M
168,179,1980-12-29,43,M
169,180,1982-01-19,73,M
170,181,1967-07-06,76,M
171,182,1959-07-13,76,F
172,183,1978-03-19,1,F
173,184,1972-06-05,1,M
174,185,1954-05-30,77,M
175,186,1961-02-22,46,F
176,187,1942-08-23,58,M
177,188,1960-09-02,64,M
178,189,1919-08-10,11,M
179,190,1947-10-31,37,F
180,191,1954-09-03,37,M
181,192,1971-02-28,70,M
182,193,1962-05-01,1,M
183,194,1924-12-20,28,F
184,195,1919-11-18,74,M
185,196,1927-06-25,74,F
186,197,1933-04-25,30,M
187,198,1976-07-14,60,M
188,199,1923-06-21,29,M
189,200,1928-01-13,29,F
190,201,1930-08-19,17,F
191,202,1976-11-21,29,F
192,203,1962-06-10,31,M
193,204,1967-06-17,31,F
194,205,1942-06-15,4,F
195,206,1963-04-13,59,F
196,207,1932-05-20,46,M
197,208,1940-06-25,13,F
198,209,1935-08-20,13,M
199,210,1939-11-30,66,M
200,211,1945-06-28,66,F
201,212,1975-02-10,52,M
202,215,1967-09-24,71,M
203,216,1960-01-30,1,M
204,217,1974-12-22,59,F
205,218,1980-01-23,1,F
206,219,1964-04-02,60,F
207,221,1977-02-25,21,F
208,222,1972-06-29,47,F
209,223,1952-02-27,43,F
210,224,1955-05-11,77,M
211,225,1936-05-10,32,M
212,226,1942-06-16,1,M
213,227,1926-12-18,52,F
214,228,1956-03-16,48,F
215,229,1969-07-22,76,M
216,230,1967-03-10,74,F
217,231,1941-02-18,41,M
218,232,1921-06-17,55,F
219,233,1958-12-03,69,F
220,234,1955-06-21,69,M
221,235,1943-08-28,44,F
222,236,1961-09-01,70,M
223,237,1969-02-22,70,F
224,238,1961-11-28,6,F
225,239,1974-09-10,1,F
226,240,1929-06-17,34,F
227,241,1959-01-23,70,M
228,242,1961-08-01,17,F
229,243,1954-02-10,63,M
230,246,1970-12-28,67,F
231,247,1957-05-08,1,M
232,248,1969-12-12,61,F
233,249,1970-05-05,61,M
234,250,1979-11-25,8,F
235,251,1976-03-03,54,F
236,252,1969-09-01,37,F
237,253,1947-05-12,48,F
238,254,1963-05-30,28,M
239,255,1951-10-11,27,F
240,256,1963-02-27,73,F
241,257,1942-11-04,22,F
242,258,1937-05-31,22,M
243,259,1966-06-08,31,M
244,260,1962-02-24,31,F
245,261,1937-12-07,38,F
246,262,1945-11-25,77,M
247,263,1962-05-20,68,M
248,264,1978-08-22,28,M
249,265,1933-01-07,72,F
250,266,1967-08-28,19,F
251,267,1967-06-12,37,M
252,268,1982-05-02,39,F
253,269,1923-12-03,15,F
254,270,1947-03-08,46,M
255,271,1945-07-27,46,F
256,272,1944-10-25,70,F
257,273,1972-05-15,27,F
258,274,1970-11-25,17,F
259,275,1918-11-12,1,F
260,276,1957-06-11,1,M
261,277,1961-11-28,1,F
262,278,1972-12-27,22,F
263,279,1970-05-16,22,M
264,280,1969-12-18,45,F
265,282,1938-02-24,73,F
266,283,1933-11-04,73,M
267,284,1974-08-06,10,M
268,285,1954-06-03,72,M
269,286,1952-04-18,72,F
270,287,1980-09-09,50,M
271,288,1962-04-21,6,M
272,289,1958-03-27,54,M
273,290,1959-01-12,72,M
274,291,1955-04-27,72,F
275,292,1958-09-06,15,F
276,293,1943-09-27,69,M
277,294,1968-03-21,58,M
278,295,1939-03-27,12,M
279,296,1974-03-01,65,M
280,297,1924-03-15,65,F
281,298,1921-06-13,65,M
282,300,1957-07-30,1,F
283,301,1942-01-10,28,M
284,302,1971-02-23,56,M
285,303,1946-05-06,74,M
286,304,1934-03-11,19,F
287,305,1938-06-08,46,M
288,308,1976-06-12,68,F
289,309,1969-12-14,37,F
290,310,1950-04-16,11,M
291,311,1930-09-16,64,F
292,312,1924-07-03,2,M
293,313,1942-05-11,24,F
294,314,1945-03-22,24,M
295,315,1967-05-01,54,M
296,316,1955-04-28,75,M
297,317,1957-10-06,64,F
298,318,1943-04-02,15,F
299,319,1929-04-04,19,F
300,320,1934-11-12,19,M
301,321,1943-10-24,47,F
302,322,1933-02-01,38,M
303,323,1938-04-04,38,F
304,324,1960-12-03,3,M
305,325,1960-02-21,3,M
306,326,1967-09-18,27,F
307,327,1968-10-13,27,M
308,328,1918-01-24,1,F
309,329,1964-12-03,11,M
310,330,1944-08-05,65,F
311,331,1942-03-02,1,M
312,332,1978-07-25,29,M
313,333,1971-10-19,38,M
314,334,1969-10-31,32,M
315,335,1967-07-22,73,F
316,336,1964-02-11,39,F
317,337,1957-05-08,39,M
318,338,1951-06-19,8,F
319,339,1966-07-30,1,M
320,340,1970-08-19,1,F
321,341,1977-03-16,69,M
322,342,1972-06-30,69,F
323,343,1919-11-19,44,M
324,344,1963-07-16,54,F
325,345,1953-12-07,17,M
326,346,1960-11-02,17,F
327,347,1959-12-13,71,M
328,348,1953-01-24,71,F
329,349,1927-05-27,39,F
330,350,1925-04-02,25,F
331,351,1973-05-01,1,M
332,352,1940-08-27,56,M
333,353,1965-10-26,7,M
334,354,1922-04-27,49,F
335,355,1930-05-31,49,M
336,356,1979-12-07,1,F
337,357,1979-03-30,1,M
338,358,1959-06-26,7,F
339,359,1970-02-16,66,M
340,360,1943-04-27,49,M
341,361,1977-05-25,74,F
342,362,1950-04-27,35,F
343,363,1942-07-01,35,M
344,364,1942-12-05,54,F
345,365,1930-01-09,1,M
346,366,1936-11-10,1,F
347,367,1963-09-03,60,F
348,368,1968-10-14,60,M
349,369,1930-11-06,7,F
350,370,1956-01-05,71,F
351,371,1942-07-16,4,M
352,372,1932-04-03,34,M
353,373,1936-02-28,16,M
354,374,1967-06-14,26,M
355,375,1969-09-29,61,F
356,376,1973-01-08,14,F
357,378,1978-05-15,50,M
358,379,1983-10-13,50,F
359,380,1973-01-19,41,M
360,381,1977-01-26,73,F
361,382,1978-06-30,73,M
362,383,1939-05-17,15,F
363,384,1935-10-08,15,M
364,385,1948-03-24,45,M
365,386,1980-08-21,62,M
366,387,1927-06-06,76,M
367,388,1950-10-30,36,F
368,389,1974-06-30,47,F
369,390,1977-01-27,47,F
370,391,1933-05-22,47,F
371,392,1950-04-01,74,F
372,393,1956-08-31,74,M
373,394,1924-05-18,52,F
374,395,1919-07-05,52,M
375,396,1920-05-02,1,M
376,397,1930-03-27,75,M
377,398,1925-03-26,61,F
378,399,1952-04-14,45,M
379,400,1933-12-27,1,M
380,401,1928-11-19,1,F
381,402,1943-12-25,3,M
382,403,1973-05-26,42,F
383,404,1967-04-20,42,M
384,405,1934-10-19,65,F
385,406,1977-05-15,36,M
386,407,1975-05-27,73,F
387,408,1978-02-22,35,F
388,409,1925-06-18,74,M
389,410,1962-12-20,62,M
390,411,1941-04-14,17,F
391,412,1944-04-17,17,M
392,413,1972-11-18,49,F
393,414,1947-10-19,46,F
394,415,1945-04-01,46,M
395,416,1932-10-07,1,F
396,417,1930-06-10,1,M
397,418,1966-10-13,28,M
398,419,1970-10-07,64,F
399,420,1978-03-13,18,M
400,421,1965-07-31,54,M
401,422,1946-12-07,69,M
402,423,1957-06-23,37,M
403,424,1947-10-08,1,M
404,425,1948-02-12,25,M
405,426,1937-06-01,72,M
406,427,1941-09-14,72,F
407,428,1919-11-16,47,F
408,429,1981-01-20,50,F
409,430,1920-07-28,39,M
410,431,1927-10-01,24,F
411,432,1952-03-26,59,F
412,433,1955-02-07,62,M
413,434,1943-01-30,70,F
414,435,1967-10-23,20,M
415,436,1955-06-15,2,M
416,437,1920-01-17,11,F
417,438,1938-09-28,32,M
418,439,1968-09-12,51,F
419,440,1970-07-07,15,F
420,441,1959-09-14,1,M
421,442,1971-12-16,1,F
422,443,1971-12-20,1,M
423,444,1960-08-01,74,F
424,445,1947-04-27,1,F
425,446,1952-03-19,1,M
426,447,1946-09-04,23,M
427,448,1970-08-15,77,F
428,450,1953-11-27,25,M
429,451,1979-04-14,12,M
430,452,1953-10-22,55,F
431,453,1969-07-16,67,M
432,454,1949-06-15,38,F
433,455,1920-07-26,68,M
434,456,1940-02-28,25,M
435,457,1950-09-26,70,M
436,458,1961-07-24,68,M
437,459,1967-07-23,32,F
438,461,1970-08-13,68,F
439,462,1970-12-21,14,M
440,463,1944-04-05,38,M
441,464,1959-07-30,24,F
442,465,1952-09-01,5,M
443,466,1947-11-19,1,F
444,467,1950-04-17,1,M
445,468,1959-04-27,72,M
446,469,1970-10-13,59,F
447,470,1954-04-21,30,F
448,471,1977-01-11,44,M
449,472,1981-12-27,36,M
450,473,1939-09-25,1,F
451,474,1949-05-31,46,M
452,476,1947-06-01,1,F
453,477,1954-07-20,1,M
454,478,1978-06-21,21,M
455,479,1947-08-20,11,M
456,480,1946-01-24,11,F
457,481,1927-01-22,69,M
458,482,1934-01-22,69,F
459,483,1944-06-19,1,M
460,484,1959-09-13,28,F
461,485,1978-05-16,32,M
462,486,1944-04-12,68,M
463,487,1922-04-01,1,F
464,488,1917-08-02,1,M
465,489,1940-10-07,41,M
466,490,1950-10-23,55,M
467,491,1966-08-05,63,M
468,492,1935-10-26,72,M
469,493,1942-06-04,41,F
470,494,1980-05-19,1,M
471,495,1937-04-07,49,F
472,496,1951-05-21,70,F
473,497,1953-02-02,74,M
474,498,1948-01-15,74,F
475,499,1935-07-08,18,F
476,500,1971-01-06,1,M
477,501,1937-10-28,62,M
478,502,1919-12-08,6,M
479,503,1959-07-24,73,M
480,504,1979-08-01,36,M
481,505,1977-12-21,13,M
482,506,1946-08-16,75,M
483,507,1954-11-16,75,M
484,508,1971-04-28,53,M
485,509,1980-05-02,73,M
486,510,1976-04-15,12,M
487,511,1959-02-18,9,M
488,512,1965-08-03,60,F
489,513,1974-01-11,8,F
490,514,1968-11-15,8,M
491,515,1932-05-26,1,M
492,516,1930-04-27,1,F
493,517,1965-07-25,63,M
494,518,1979-04-28,54,F
495,519,1980-04-13,18,M
496,520,1947-09-27,46,F
497,521,1975-12-25,69,M
498,522,1956-03-04,1,F
499,523,1922-12-17,38,M
500,524,1963-01-02,30,F
501,525,1969-08-14,30,M
502,526,1964-02-01,43,M
503,527,1966-08-18,43,F
504,528,1977-02-11,37,M
505,529,1978-11-05,69,M
506,530,1957-09-27,29,F
507,531,1976-10-04,27,M
508,532,1980-09-03,27,F
509,533,1941-05-19,54,F
510,534,1957-07-22,74,M
511,535,1937-09-09,26,M
512,536,1939-08-25,47,M
513,537,1935-01-16,1,M
514,538,1948-05-10,5,F
515,540,1921-07-28,19,M
516,541,1927-03-09,19,F
517,542,1921-02-09,59,F
518,543,1958-04-15,11,F
519,544,1948-11-16,63,M
520,545,1973-10-11,75,F
521,546,1953-08-25,7,M
522,547,1949-03-31,54,M
523,548,1937-12-04,49,M
524,550,1961-11-30,7,M
525,551,1976-07-05,47,F
526,552,1934-05-08,1,F
527,553,1941-04-07,1,M
528,554,1925-04-19,30,F
529,555,1926-10-21,30,M
530,556,1946-07-08,29,M
531,557,1939-07-17,51,M
532,558,1920-07-05,43,F
533,559,1972-09-05,32,F
534,560,1967-12-16,71,F
535,561,1962-11-10,74,F
536,562,1975-09-22,49,F
537,563,1961-09-09,72,F
538,564,1955-01-24,72,M
539,565,1959-07-03,64,F
540,566,1946-03-05,47,F
541,567,1950-05-02,47,M
542,568,1960-07-19,8,F
543,569,1962-06-15,73,M
544,570,1941-01-31,61,F
545,571,1924-09-27,3,M
546,572,1920-08-04,3,F
547,573,1967-08-10,69,M
548,574,1972-12-25,1,M
549,575,1970-04-04,58,M
550,576,1974-05-12,58,F
551,577,1963-12-05,1,F
552,578,1977-07-07,23,F
553,579,1933-05-31,72,F
554,581,1949-02-04,70,F
555,582,1950-09-26,1,M
556,583,1965-01-01,75,F
557,584,1976-05-13,33,F
558,585,1942-02-21,40,F
559,586,1947-11-03,40,M
560,587,1945-07-08,25,F
561,588,1960-10-20,61,F
562,589,1961-09-17,45,M
563,590,1949-02-15,44,M
564,591,1974-10-29,65,F
565,592,1965-07-18,26,M
566,593,1954-07-10,60,F
567,596,1948-10-24,69,M
568,597,1943-02-22,55,M
569,598,1970-12-31,1,M
570,599,1977-05-18,1,F
571,601,1966-03-12,56,M
572,602,1965-01-16,56,F
573,603,1966-03-09,13,F
574,604,1965-07-31,1,F
575,605,1970-08-27,1,F
576,606,1949-01-25,10,F
577,607,1964-03-30,64,M
578,608,1972-08-31,67,M
579,609,1962-09-02,52,M
580,610,1979-08-10,74,F
581,611,1952-10-13,36,M
582,612,1960-11-10,36,F
583,613,1977-08-10,1,F
584,614,1947-02-03,14,F
585,615,1949-09-13,68,F
586,616,1975-01-01,58,M
587,617,1974-03-14,70,M
588,618,1932-03-16,57,F
589,619,1920-09-07,6,M
590,620,1918-02-13,6,F
591,621,1939-03-17,54,M
592,622,1931-11-23,74,F
593,623,1925-09-04,24,M
594,624,1932-07-26,24,F
595,625,1978-11-24,60,F
596,626,1980-04-13,9,M
597,627,1972-04-11,17,M
598,628,1970-05-27,17,F
599,629,1976-03-10,16,M
600,630,1952-03-03,61,M
601,631,1956-03-22,70,F
602,632,1946-03-16,67,M
603,633,1938-06-12,67,F
604,635,1927-06-29,17,F
605,636,1935-02-17,17,M
606,637,1970-12-15,39,F
607,638,1961-02-03,54,F
608,639,1978-08-02,31,M
609,640,1979-04-15,26,M
610,641,1962-07-04,40,F
611,642,1963-10-25,40,M
612,643,1949-06-13,1,F
613,644,1961-04-23,35,F
614,645,1925-12-21,14,M
615,646,1922-09-29,34,F
616,647,1929-04-06,34,M
617,648,1935-09-28,70,F
618,649,1978-05-02,13,F
619,651,1976-01-27,54,F
620,652,1938-12-08,61,M
621,653,1930-11-21,1,F
622,654,1942-05-17,64,F
623,655,1942-12-10,32,M
624,656,1956-06-06,1,M
625,657,1926-07-10,8,F
626,658,1926-12-21,8,M
627,659,1965-12-07,24,M
628,660,1923-03-22,16,M
629,661,1919-01-15,16,F
630,662,1945-08-07,5,M
631,663,1923-01-20,24,M
632,664,1980-03-19,77,F
633,665,1932-04-05,62,F
634,666,1982-05-23,26,M
635,667,1981-07-20,26,F
636,668,1942-12-25,1,F
637,669,1956-12-19,12,F
638,670,1959-01-21,1,M
639,671,1971-02-27,10,F
640,672,1929-11-09,46,F
641,673,1939-10-29,36,M
642,674,1927-01-11,11,F
643,675,1975-11-12,50,M
644,676,1953-02-07,70,M
645,677,1963-05-24,5,M
646,678,1933-05-28,39,F
647,679,1940-03-19,8,M
648,680,1940-05-09,8,F
649,681,1977-01-15,15,M
650,682,1979-10-21,18,M
651,683,1945-08-29,76,F
652,684,1976-04-10,3,F
653,685,1930-12-13,72,F
654,686,1971-10-03,32,F
655,687,1975-01-28,32,M
656,688,1954-05-04,1,M
657,689,1964-08-02,70,M
658,690,1942-11-07,38,M
659,691,1944-01-13,38,F
660,692,1936-01-11,74,F
661,693,1935-03-17,74,M
662,694,1936-02-28,29,M
663,695,1955-06-27,28,M
664,696,1952-12-01,28,F
665,697,1974-05-01,1,M
666,698,1954-02-27,75,M
667,699,1922-04-22,26,F
668,700,1929-11-20,12,M
669,702,1968-11-07,31,F
670,703,1959-04-26,4,M
671,704,1975-05-01,54,M
672,705,1938-12-10,19,M
673,706,1948-08-05,1,M
674,707,1941-12-14,1,M
675,708,1977-11-27,50,F
676,709,1934-12-29,1,M
677,710,1925-11-28,23,M
678,711,1963-08-16,48,F
679,712,1962-12-04,54,M
680,713,1980-03-29,20,F
681,714,1970-10-08,31,M
682,715,1952-01-15,1,F
683,716,1954-12-04,1,F
684,717,1968-05-02,54,M
685,718,1960-02-28,54,F
686,719,1974-08-09,46,M
687,720,1954-09-06,29,M
688,721,1940-02-15,43,M
689,722,1970-11-25,62,F
690,723,1957-07-26,12,F
691,724,1953-02-02,65,F
692,725,1956-12-11,75,M
693,726,1935-02-13,16,M
694,727,1930-07-20,32,F
695,728,1932-01-20,32,M
696,729,1969-03-17,63,F
697,730,1973-08-14,63,M
698,731,1979-01-22,74,F
699,732,1978-07-05,74,M
700,733,1978-07-28,46,M
701,734,1985-01-14,46,F
702,735,1973-11-26,1,M
703,736,1977-04-26,1,F
704,737,1952-11-04,74,M
705,738,1920-03-26,25,M
706,739,1942-04-16,72,M
707,740,1923-11-07,55,M
708,741,1941-07-09,74,M
709,742,1951-10-15,1,F
710,743,1941-02-17,1,M
711,744,1940-07-18,26,M
712,745,1966-02-14,52,F
713,746,1962-04-16,52,M
714,747,1953-08-20,24,F
715,748,1936-10-15,25,M
716,749,1933-07-29,25,F
717,750,1956-09-29,70,F
718,751,1959-03-09,70,M
719,752,1944-12-20,72,M
720,753,1940-09-24,72,F
721,754,1947-06-04,63,F
722,755,1947-11-21,72,M
723,756,1920-05-13,31,M
724,757,1970-12-20,71,F
725,758,1961-07-26,68,F
726,759,1955-05-20,29,M
727,760,1936-08-25,57,F
728,762,1937-04-20,21,M
729,763,1927-08-24,75,F
730,764,1955-10-13,49,F
731,765,1969-12-31,65,M
732,766,1926-07-03,1,F
733,767,1923-06-16,1,M
734,768,1931-09-23,32,F
735,769,1977-12-15,40,M
736,772,1944-12-10,64,M
737,773,1935-10-30,4,M
738,774,1973-03-03,70,M
739,775,1940-11-30,51,F
740,776,1953-05-03,1,F
741,777,1961-05-20,1,M
742,778,1940-06-04,13,M
743,779,1944-06-12,69,F
744,780,1924-02-26,3,M
745,781,1945-09-20,72,M
746,782,1963-03-18,5,F
747,783,1971-03-25,27,F
748,784,1964-12-28,27,M
749,785,1934-09-09,63,M
750,786,1978-09-06,53,M
751,787,1947-12-08,3,M
752,788,1974-09-03,47,M
753,789,1931-09-21,4,M
754,790,1967-05-09,63,F
755,791,1950-09-29,68,F
756,793,1978-02-04,21,M
757,794,1979-07-16,21,F
758,796,1919-08-30,1,M
759,797,1948-01-27,8,M
760,798,1940-02-12,27,F
761,799,1936-02-19,27,M
762,803,1951-02-15,35,M
763,804,1956-01-23,35,F
764,806,1980-04-22,60,M
765,807,1969-10-21,53,F
766,808,1963-11-28,31,M
767,809,1919-10-15,49,M
768,810,1945-09-24,58,F
769,811,1940-05-28,58,M
770,812,1940-12-06,39,M
771,813,1964-01-29,70,M
772,814,1959-10-01,19,M
773,815,1964-10-27,22,F
774,816,1958-02-01,17,F
775,818,1966-04-27,54,M
776,819,1958-07-08,74,M
777,820,1960-11-06,74,F
778,821,1948-05-12,49,M
779,822,1959-05-08,37,F
780,823,1956-10-24,41,M
781,824,1952-09-05,27,M
782,825,1977-04-02,74,M
783,826,1978-01-23,1,M
784,827,1965-09-04,10,F
785,828,1958-12-10,10,M
786,829,1957-05-19,24,M
787,830,1948-08-27,69,M
788,831,1948-05-02,2,M
789,832,1923-12-23,67,F
790,833,1960-06-11,5,M
791,834,1922-12-17,54,M
792,835,1943-10-20,28,F
793,836,1948-06-14,28,M
794,837,1974-10-14,71,M
795,838,1968-02-04,71,F
796,839,1955-05-18,47,F
797,840,1937-04-26,20,M
798,841,1981-02-10,69,M
799,842,1933-07-03,12,F
800,843,1957-09-03,54,F
801,844,1945-01-14,22,M
802,845,1953-01-30,22,F
803,846,1949-12-01,35,M
804,847,1979-12-25,49,M
805,849,1939-06-06,26,F
806,850,1969-09-21,19,M
807,851,1919-06-16,25,M
808,852,1916-06-04,25,F
809,853,1949-06-02,70,M
810,854,1941-11-02,72,F
811,855,1930-01-28,58,M
812,856,1919-01-22,23,M
813,857,1948-02-21,32,M
814,858,1959-03-29,47,F
815,859,1968-07-29,1,F
816,860,1967-12-08,1,M
817,861,1956-09-13,1,F
818,862,1952-01-05,30,M
819,863,1968-11-29,54,F
820,864,1953-03-27,11,M
821,865,1946-11-03,11,F
822,866,1975-11-24,38,F
823,870,1957-05-06,70,M
824,871,1974-03-11,76,M
825,872,1963-02-22,35,M
826,873,1944-01-05,60,M
827,874,1952-09-05,14,F
828,875,1956-12-07,14,M
829,876,1960-11-25,1,M
830,877,1927-01-21,5,F
831,878,1920-04-17,5,M
832,879,1943-12-08,38,F
833,880,1960-02-17,49,M
834,881,1975-02-22,5,F
835,882,1933-09-09,70,F
836,883,1920-01-06,75,F
837,884,1918-10-14,75,M
838,885,1923-02-08,34,M
839,886,1948-02-02,34,M
840,887,1973-11-28,66,F
841,888,1973-10-26,28,M
842,889,1981-10-24,54,F
843,890,1919-03-30,77,M
844,891,1931-01-31,33,M
845,892,1922-05-24,42,F
846,893,1935-10-23,43,F
847,894,1934-08-18,75,M
848,895,1970-07-03,39,M
849,896,1973-04-24,36,F
850,897,1981-03-25,36,M
851,898,1943-04-27,38,F
852,899,1944-02-13,38,M
853,900,1977-04-10,73,M
854,901,1919-12-21,39,M
855,902,1950-08-15,23,M
856,903,1934-03-06,31,M
857,904,1932-02-08,1,M
858,905,1940-10-23,38,M
859,906,1978-06-16,65,M
860,907,1948-03-11,51,M
861,908,1961-03-07,51,F
862,909,1975-09-07,23,M
863,910,1961-09-27,1,M
864,911,1939-11-28,43,M
865,912,1920-10-29,76,M
866,913,1938-11-18,1,M
867,914,1921-01-19,1,F
868,915,1975-05-03,12,M
869,916,1958-06-29,3,M
870,917,1973-09-16,25,F
871,918,1964-12-23,26,M
872,921,1954-02-13,7,F
873,922,1972-08-16,22,F
874,923,1978-08-22,22,M
875,924,1953-07-12,1,M
876,925,1959-08-13,54,M
877,926,1981-01-22,1,M
878,927,1974-10-26,1,M
879,928,1951-10-10,66,F
880,929,1935-04-23,30,M
881,930,1959-08-25,68,F
882,931,1968-06-07,16,M
883,932,1947-09-27,3,M
884,933,1978-03-11,33,F
885,934,1982-08-19,33,M
886,935,1946-05-17,42,F
887,936,1943-07-30,42,M
888,937,1931-11-14,1,M
889,938,1944-08-07,59,F
890,939,1952-08-03,21,M
891,940,1960-08-11,53,M
892,941,1935-10-05,10,M
893,942,1931-09-02,12,F
894,943,1936-09-26,12,M
895,944,1970-12-18,39,M
896,945,1977-01-10,39,F
897,946,1951-08-06,54,M
898,948,1924-04-22,49,M
899,949,1976-07-27,3,M
900,950,1965-04-12,76,F
901,951,1960-09-17,76,M
902,952,1951-05-01,63,F
903,953,1937-10-17,25,M
904,954,1942-10-20,1,F
905,955,1970-01-28,57,M
906,956,1966-10-21,1,M
907,957,1941-12-23,56,F
908,958,1942-05-04,56,M
909,959,1962-09-12,11,F
910,960,1957-04-13,16,F
911,961,1931-10-04,15,F
912,962,1966-02-19,19,M
913,963,1966-12-17,64,F
914,964,1953-10-21,10,F
915,965,1972-12-01,13,F
916,966,1978-09-02,13,M
917,967,1979-06-20,76,M
918,968,1957-02-17,69,M
919,970,1957-03-29,36,M
920,971,1919-01-01,46,F
921,972,1917-05-06,46,M
922,973,1970-10-06,14,F
923,974,1963-06-24,14,M
924,975,1959-07-12,1,F
925,976,1955-11-19,16,F
926,977,1926-05-10,76,F
927,978,1968-06-09,56,F
928,979,1966-11-18,56,M
929,980,1961-09-30,40,M
930,981,1960-06-28,5,M
